Timestamp,deposition rate (A/sec),power (%),pressure (mTorr),temperature (C),crystal (kA),anode current (amp),neutralization current (amp),gas flow (sccm)
2025-06-11 13:28:03,3.281,12.9,0.0,21.34375,0.004,0.0,0.0,0.0
2025-06-11 13:28:04,3.281,12.9,0.0,21.3671875,0.004,0.0,0.0,0.0
2025-06-11 13:28:05,3.281,12.9,0.0,21.421875,0.004,0.0,0.0,0.0
2025-06-11 13:28:06,3.281,12.9,0.0,21.3828125,0.004,0.0,0.0,0.0
2025-06-11 13:28:07,3.281,12.9,0.0,21.453125,0.004,0.0,0.0,0.0
2025-06-11 13:28:08,3.281,12.9,0.0,21.4609375,0.004,0.0,0.0,0.0
2025-06-11 13:28:09,3.281,12.9,0.0,21.3828125,0.004,0.0,0.0,0.0
